dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
12,0.5364734653949621,0.020689655172413793,21380.723254964432,0.09057778601682048
16,0.532861335289802,0.022758620689655173,21381.170970236257,0.08092482014116281
20,0.5374223526534605,0.019310344827586205,21384.651044697872,0.08655097384944822
32,0.537948153582783,0.019310344827586208,21374.769364249834,0.0849976838365836
64,0.5384201516263145,0.019310344827586208,21384.910940899525,0.09276871142658812
96,0.5430398630471998,0.022758620689655173,21378.882543123724,0.09161953074656543
128,0.547062851552947,0.02344827586206897,21378.272557867476,0.08456489352120529
