dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
8,1.003988424915003,5.6289606,0.014829659318637275,0.005263157894736842
12,1.003996587880445,5.217048,0.01402805611222445,0.0
16,1.0040014856597104,5.340558,0.0124248496993988,0.0
20,1.0039990367700777,5.38218,0.01282565130260521,0.0
32,1.0040047508458874,5.582751,0.01282565130260521,0.0
64,1.004003934549343,5.912421,0.01122244488977956,0.0
96,1.0040023019562547,6.4698687,0.013627254509018038,0.0
128,1.0040014856597104,6.4183345,0.011222444889779559,0.0
