dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
12,1.0054832576727584,5.723082102177853,0.024793388429752067,0.0
16,1.0054677375548053,5.884875557216485,0.02534435261707989,0.0
20,1.0054754976137819,5.92117256472353,0.023140495867768597,0.0
32,1.0054382493306948,6.132394114322274,0.028650137741046838,0.0
64,1.0054087611065845,6.259058261110902,0.0325068870523416,0.0
96,1.0054149691537655,6.30849175374349,0.03140495867768596,0.0
128,1.0054460093896713,6.266231753402764,0.028099173553719006,0.00012303149606299212
