dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
8,0.591665703052729,0.034574468085106384,19.314635651342325,0.15361083199060796
12,0.5919388876040703,0.03776595744680852,18.946711236100278,0.1538007349345617
16,0.5993582331174838,0.038829787234042554,19.091423690954766,0.15541070282190847
20,0.5980544634597595,0.03723404255319149,19.304363856076716,0.15982717445620795
