dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
8,1.0054848096845537,4.331006,0.024793388429752067,0.0
12,1.0055096418732783,4.536519,0.019834710743801654,0.0
16,1.0054242812245373,4.1818204,0.03360881542699725,0.03636363636363636
20,1.0054289372599232,4.863717,0.030303030303030304,0.0
32,1.005481705660963,3.97628,0.024242424242424246,0.05454545454545454
64,1.0054692895666006,3.9042075,0.024793388429752067,0.07272727272727272
96,1.0054910177317347,3.8601305,0.02809917355371901,0.03636363636363636
128,1.0054475614014666,3.9626029,0.030303030303030307,0.05454545454545454
