dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
8,1.0001092404838137,10.933546,0.14467999999999998,0.37681159420289856
12,1.000109237815724,11.085132,0.1441066666666667,0.37318840579710144
16,1.0001094957310566,11.144046,0.14425333333333334,0.3804347826086957
20,1.000109245819993,11.539718,0.14624000000000004,0.37318840579710144
32,1.0001058884738527,11.496815,0.16706666666666667,0.32971014492753625
64,1.0001051654215583,11.123852,0.1706266666666667,0.3695652173913043
96,1.0001070001778727,10.984857,0.15957333333333334,0.34782608695652173
128,1.0001073176805408,10.780437,0.15968,0.36594202898550726
