dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
8,1.0050304790108262,42.93462,0.016040100250626566,0.1510474114036706
12,1.0050509906479754,42.29037,0.014035087719298244,0.14962578317133693
16,1.0050497086706536,43.66484,0.013533834586466167,0.14497937256816681
20,1.0050432987840445,43.135544,0.014536340852130328,0.15020041221264002
32,1.005054836579941,44.117794,0.013533834586466167,0.14743247307608326
64,1.0050650923985154,43.711193,0.013533834586466167,0.15106169701406694
96,1.005031760988148,43.18006,0.017543859649122806,0.1504397666655252
128,1.005031760988148,43.19702,0.017543859649122806,0.15042019946417282
