dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
8,1.005459977495829,4.568016,0.026997245179063364,0.0
12,1.0054941217553253,4.502094,0.023691460055096418,0.0
16,1.0054941217553253,4.7466755,0.02203856749311295,0.0
20,1.0054786016373725,4.8996816,0.026997245179063364,0.0
32,1.005470841578396,4.5966988,0.025344352617079888,0.0
64,1.0054894657199396,5.1576138,0.02369146005509642,0.0
96,1.00549256974353,5.1119404,0.02203856749311295,0.0
128,1.00549256974353,5.2353544,0.023140495867768597,0.0
