dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
8,1.0001307150480256,3.668998,0.01708,0.5
12,1.000130770188545,3.8766692,0.016573333333333336,0.5471014492753623
16,1.000131675560299,2.8723776,0.010893333333333336,0.5543478260869565
20,1.0001289647812166,4.7539144,0.02774666666666667,0.4891304347826087
32,1.0001306536819636,4.5424924,0.017413333333333336,0.5398550724637681
64,1.000126264674493,5.177166,0.04294666666666667,0.4528985507246377
96,1.0001292858413375,4.539391,0.025653333333333337,0.5253623188405797
128,1.0001272349697616,4.423926,0.03722666666666667,0.39492753623188404
