dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
8,1.0052960222016651,5.810373,0.023936170212765957,0.004329004329004329
12,1.0052367599444958,5.860249,0.030851063829787233,0.004329004329004329
16,1.0052324236817762,6.178065,0.035106382978723406,0.0
20,1.0052410962072156,5.7602077,0.028723404255319152,0.0
32,1.0052772317298797,5.8666735,0.02712765957446809,0.008658008658008658
64,1.0052671137835338,5.134576,0.026595744680851064,0.008658008658008658
96,1.0052887950971323,5.057206,0.020744680851063832,0.025974025974025976
128,1.0052743408880667,5.2261443,0.026063829787234045,0.012987012987012988
