dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
32,1.0001333253290643,26.051016,0.0005333333333333334,0.0
64,1.0001333582355034,40.989162,0.00034666666666666667,0.0
96,1.000133348452508,52.66057,0.00041333333333333337,0.0
128,1.000133377801494,61.955074,0.00024,0.0
