dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
8,1.005551546191751,3.22938,0.01652892561983471,0.01818181818181818
12,1.0055701703332944,3.1976948,0.014876033057851241,0.03636363636363636
16,1.0054801536491678,3.2948701,0.025344352617079888,0.0
20,1.0055065378496877,4.0070515,0.02258953168044077,0.0
32,1.0055468901563651,3.956157,0.01928374655647383,0.0
64,1.0055205059558452,4.1302366,0.02369146005509642,0.0
96,1.0055096418732783,4.2277665,0.024793388429752067,0.0
128,1.0055717223450897,4.0782337,0.012672176308539944,0.0
