dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
8,0.8232077534685165,0.017573333333333333,15.250158023679418,0.47931609439983086
12,0.8010753717538243,0.01618666666666667,15.58457293812906,0.4147031674358016
16,0.7841990430451796,0.01192,15.658788265924379,0.43535495497899235
20,0.8312341631092138,0.028546666666666665,14.546293698441607,0.4431332248201343
32,0.8329613927427961,0.01772,15.946089272808099,0.4171927903747649
64,0.8532708795802205,0.04457333333333333,15.169317335188726,0.4141682344605316
96,0.8304240590537175,0.02538666666666667,15.388256323663228,0.3964414028346131
128,0.8331340368196372,0.037186666666666666,15.294127211909434,0.4101189810673212
