dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
8,1.0040169952940505,5.1192465,0.011623246492985973,0.0
12,1.004011281218241,5.32778,0.012424849699398798,0.0
16,1.003999853066622,5.026649,0.0156312625250501,0.005263157894736842
20,1.004019444183683,5.1160874,0.011222444889779559,0.005263157894736842
32,1.0040104649216968,5.1965637,0.013226452905811623,0.005263157894736842
64,1.0040218930733156,4.7629733,0.010020040080160322,0.010526315789473684
96,1.0040218930733156,4.654405,0.01122244488977956,0.015789473684210527
128,1.0040218930733156,4.974949,0.010420841683366733,0.005263157894736842
