dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
8,1.0001307132692991,95.86393,0.016653333333333336,0.0016421012578255127
12,1.00013055585201,97.40147,0.016800000000000002,0.0016049024380682527
16,1.0001304722518676,98.04362,0.017786666666666666,0.0016314860474084527
20,1.0001306101031662,98.23799,0.016986666666666667,0.0015430629970288807
32,1.000130506937033,95.94445,0.017240000000000002,0.0017194304731637453
64,1.0001305576307364,96.35309,0.017213333333333334,0.001631805130491306
96,1.0001305923159018,97.59313,0.017373333333333334,0.0015725240520269525
128,1.000130720384205,96.43663,0.01632,0.0015632905853168906
