dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
8,0.8354746673781572,0.016746666666666667,49275.897289629116,0.22491148860146457
12,0.835642083778015,0.01682666666666667,49230.30606179286,0.22883181672789185
16,0.8381904473496976,0.017413333333333333,47485.220475937385,0.22396039265920534
20,0.8381036294912843,0.018533333333333332,49777.25024146454,0.22428132465324402
32,0.8420004998221273,0.017466666666666665,48895.203505160476,0.2197992347392092
64,0.83970189434365,0.016373333333333333,50128.84379400053,0.21435401800121615
96,0.8400706172180719,0.017986666666666665,49690.00473942124,0.22773772117144736
128,0.8368246727143365,0.016493333333333332,49526.787324394354,0.22589710226419055
