dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
8,0.5049210437167615,0.01603206412825651,41.47399642003946,0.03615226077725625
16,0.5179907676860851,0.017635270541082167,41.525119845381475,0.0497108718783491
32,0.5158945181605574,0.011623246492985973,41.32064881965051,0.08020713536002978
64,0.5298752290732178,0.01683366733466934,41.251202347481936,0.09774302065654195
96,0.5131346195445882,0.014428857715430864,41.17072203275463,0.0656602928837026
128,0.5245293030051957,0.016432865731462926,41.217887666564515,0.08779351050530466
