dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
8,0.5852494796484736,0.030319148936170208,14.849876510371331,0.14559293234178117
12,0.5954021160962073,0.026063829787234045,10.926805326174202,0.15608790203664055
16,0.5895337072155411,0.02819148936170213,10.067811119692989,0.15222415275957124
20,0.5879553075855689,0.03191489361702128,8.227576903750672,0.16095557658954524
32,0.58725572386679,0.03563829787234043,7.808061156005742,0.17380424842355605
64,0.5858449930619797,0.03563829787234043,7.316666221653833,0.18201869026710005
96,0.5851338459759482,0.034574468085106384,7.460444902569078,0.18234639440493333
128,0.592538737280296,0.03617021276595745,7.127051805892837,0.18550155343026523
