dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
8,0.5528527200353825,0.016040100250626566,50741.55393601137,0.10783732255682611
12,0.5548590145440326,0.014035087719298244,50747.24784034828,0.10300967185892794
16,0.5524168477459633,0.013533834586466167,50743.1914021336,0.10770900827061484
20,0.5535616534943497,0.014536340852130328,50749.03015895815,0.11282796601362814
32,0.5533949964425129,0.013533834586466167,50747.746811048266,0.10492518560749346
64,0.5531411649327923,0.013533834586466167,50742.085457065645,0.1037883482871655
96,0.5553666775634739,0.017543859649122806,50742.04141675754,0.10930817774439952
128,0.5591010775019389,0.017543859649122806,50741.21808734529,0.10524302078489367
