dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
8,0.5363287160982424,0.023140495867768597,20.7824419953114,0.06492276941129824
16,0.5315562798277267,0.01873278236914601,20.608779445391797,0.012878439672347974
32,0.5227563729484344,0.019834710743801654,20.80357935729801,-0.005241493883408416
64,0.5305366080782214,0.030853994490358125,21.11016932500402,0.038546383332420414
96,0.5308702906142087,0.026997245179063364,21.042684377885564,0.03983647931208531
128,0.5296286811779769,0.0325068870523416,20.891752493331513,0.025720660218756183
