dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
8,0.5234721989804456,0.015230460921843688,29.501166307544164,0.02697416039020484
12,0.5135223604030872,0.014428857715430864,27.393953714720247,0.034252846800403476
16,0.5169328473647907,0.01282565130260521,26.854822454455345,0.030245310511182736
20,0.5092898628213658,0.013226452905811625,25.585063962990738,0.0302439454185495
32,0.5147868037500664,0.013226452905811625,24.630553710853277,0.037378305798251556
64,0.516331236811709,0.01122244488977956,24.786973265548372,0.042739282414611224
96,0.515403923937488,0.013627254509018038,24.9957545311873,0.04004527201430841
128,0.524804394940594,0.011222444889779559,25.045328817885423,0.04622576183960924
