dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
8,0.6078260179379316,0.044518272425249174,49276.95990449632,-0.01026868307093587
12,0.6166339732178291,0.043853820598006646,49283.19427786293,-0.01383124883747059
16,0.6085630378828252,0.04053156146179402,49280.77592895371,-0.012444784775619857
20,0.6069189164672933,0.03986710963455149,49282.74876200494,-0.011538664140022536
32,0.6077330400371912,0.04053156146179402,49280.58497009516,-0.01107820373900511
64,0.6145861916478632,0.04717607973421927,49279.38741344748,-0.011967067980551157
96,0.6029027247060424,0.03853820598006645,49283.02447512297,-0.010114648934280315
128,0.6098171056659826,0.04318936877076412,49281.11202252616,-0.012254112022757502
