dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
8,0.5000844866923256,0.01282565130260521,32.86192154245003,0.03962449078348258
12,0.5078148149659809,0.01122244488977956,33.81596527288918,0.03011015913543277
16,0.5205531225383557,0.013226452905811625,39.12826485177321,0.05182824695518017
20,0.5120554755131445,0.01122244488977956,35.47810876547434,0.06854209060654186
32,0.5001432600435086,0.01282565130260521,34.90643843153525,0.054126442265803196
64,0.514409674746642,0.01002004008016032,34.213048672817926,0.07740197790381065
96,0.5209718826655347,0.012424849699398798,37.88153025634112,0.09514294366358715
128,0.5218820533123274,0.00841683366733467,36.03228716169667,0.04105241160308858
