dimension,trustworthiness,knn_preservation,pairwise_mse,shepard_corr
8,0.7941716702241195,0.03012,45.88263935339778,0.5606862061168512
16,0.8686183146567058,0.07885333333333334,46.00584767174644,0.5654640592000986
32,0.9119942493774458,0.13553333333333334,46.05246153098252,0.6042650785657506
64,0.9428546718249733,0.21392,46.260402316079706,0.6006615012083019
96,0.984465449128424,0.2588533333333333,45.999226774580954,0.7917556280651744
128,0.9836986517253646,0.29188000000000003,45.991002278904354,0.6987966544714858
