dimension,continuity,lid,neighborhood_hit_rate,redundancy_ratio
8,1.0053278214616097,3.4689627,0.019680851063829788,0.025974025974025976
12,1.0052786771507862,4.104243,0.027127659574468083,0.004329004329004329
16,1.0052454324699351,4.489453,0.030851063829787237,0.0
20,1.005300358464385,4.254878,0.02340425531914894,0.008658008658008658
32,1.0052512141535614,4.588637,0.03138297872340426,0.0
64,1.0052685592044404,5.0257645,0.026595744680851064,0.0
96,1.005293131359852,5.065747,0.025,0.0
128,1.0052815679925995,5.3949223,0.023936170212765957,0.0
